w g
70326.30413 3.257238994
74504.14774 3.257239755
78930.18265 3.257240473
83619.15305 3.25724115
88586.67904 3.25724179
93849.30865 3.257242394
99424.57296 3.257242964
105331.0445 3.257243502
111588.3993 3.25724401
118217.4819 3.257244489
125240.3755 3.257244942
132680.475 3.257245369
140562.5652 3.257245772
148912.9032 3.257246153
157759.3061 3.257246512
167131.2434 3.257246851
177059.9351 3.257247171
187578.4563 3.257247473
198721.8465 3.257247759
210527.2273 3.257248028
223033.925 3.257248282
236283.6026 3.257248522
250320.398 3.257248748
265191.071 3.257248962
280945.1595 3.257249164
297635.1442 3.257249354
315316.6234 3.257249534
334048.4984 3.257249704
353893.1695 3.257249864
374916.7443 3.257250015
397189.2573 3.257250158
420784.9036 3.257250292
445782.286 3.257250419
472264.6769 3.257250539
500320.2954 3.257250653
530042.6016 3.25725076
561530.6077 3.257250861
594889.2078 3.257250956
630229.5275 3.257251046
667669.2939 3.257251131
707333.228 3.257251211
749353.4598 3.257251286
793869.9689 3.257251358
841031.0505 3.257251425
890993.8097 3.257251489
943924.6843 3.257251549
1000000 3.257251605
