w g
70326.30413 2.709506314
74504.14774 2.709506592
78930.18265 2.709506855
83619.15305 2.709507104
88586.67904 2.709507338
93849.30865 2.70950756
99424.57296 2.709507769
105331.0445 2.709507966
111588.3993 2.709508153
118217.4819 2.709508328
125240.3755 2.709508494
132680.475 2.709508651
140562.5652 2.709508799
148912.9032 2.709508939
157759.3061 2.709509071
167131.2434 2.709509195
177059.9351 2.709509312
187578.4563 2.709509423
198721.8465 2.709509528
210527.2273 2.709509627
223033.925 2.70950972
236283.6026 2.709509808
250320.398 2.709509891
265191.071 2.70950997
280945.1595 2.709510044
297635.1442 2.709510114
315316.6234 2.70951018
334048.4984 2.709510242
353893.1695 2.709510301
374916.7443 2.709510357
397189.2573 2.709510409
420784.9036 2.709510458
445782.286 2.709510505
472264.6769 2.709510549
500320.2954 2.709510591
530042.6016 2.70951063
561530.6077 2.709510667
594889.2078 2.709510702
630229.5275 2.709510735
667669.2939 2.709510766
707333.228 2.709510796
749353.4598 2.709510824
793869.9689 2.70951085
841031.0505 2.709510875
890993.8097 2.709510898
943924.6843 2.70951092
1000000 2.709510941
