system,step,T_C,T_K,isotope_pair,quantity,replicate,value,source_DOI,PMCID,source_table,license,rate_class
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,31,11.3,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,observed_competitive_KIE,1,3.04,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,observed_competitive_KIE,2,3.02,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,observed_competitive_KIE,3,3.08,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,observed_competitive_KIE,4,3.09,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,observed_competitive_KIE,5,3.03,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,D/T,observed_competitive_KIE,1,1.62,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,D/T,observed_competitive_KIE,2,1.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,D/T,observed_competitive_KIE,3,1.62,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,D/T,observed_competitive_KIE,4,1.62,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,D/T,observed_competitive_KIE,5,1.61,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,1,11.5,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,2,10.4,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,3,11.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,4,11.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,5,11.1,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,6,11.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,7,10.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,8,11.8,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,9,11.8,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,10,11.4,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,11,11.2,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,12,10.1,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,13,11.2,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,14,11.2,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,15,10.8,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,16,11.1,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,17,10.1,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,18,11.2,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,19,11.2,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,20,10.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,21,11.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,22,10.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,23,11.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,24,11.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,25.0,298.15,H/T,intrinsic_KIE_Northrop,25,11.3,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,observed_competitive_KIE,1,3.42,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,observed_competitive_KIE,2,3.46,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,observed_competitive_KIE,3,3.41,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,observed_competitive_KIE,4,3.48,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,D/T,observed_competitive_KIE,1,1.64,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,D/T,observed_competitive_KIE,2,1.64,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,D/T,observed_competitive_KIE,3,1.67,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,D/T,observed_competitive_KIE,4,1.67,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,D/T,observed_competitive_KIE,5,1.68,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,1,9.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,2,9.8,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,3,11.5,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,4,11.2,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
